param n :=	50	;			
param range :=	7	;			
param Vc :=	1	;			
param Fc :=	50	;			
param capacity :=	10	;			
					
param:	Cx	Cy	Dc	usable	:=
1	9	22	10	1	
2	22	5	3	1	
3	8	17	8	1	
4	2	22	10	1	
5	20	29	10	1	
6	2	24	4	1	
7	25	15	8	1	
8	20	24	10	1	
9	15	2	4	1	
10	4	18	4	1	
11	29	47	9	1	
12	34	25	5	1	
13	27	39	10	1	
14	46	33	1	1	
15	33	29	10	1	
16	28	46	6	1	
17	44	28	5	1	
18	33	32	6	1	
19	35	23	7	0	
20	40	39	3	1	
21	33	15	8	1	
22	5	5	3	1	
23	33	36	10	0	
24	10	31	3	1	
25	24	40	6	0	
26	15	28	5	1	
27	35	32	8	0	
28	15	35	10	0	
29	19	2	8	1	
30	18	36	5	1	
31	29	17	6	1	
32	27	18	8	1	
33	20	27	6	1	
34	8	25	7	1	
35	22	23	10	1	
36	22	39	10	1	
37	40	28	3	1	
38	24	22	3	1	
39	16	2	10	1	
40	25	28	3	1	
41	20	32	3	1	
42	36	36	4	1	
43	4	35	4	1	
44	11	19	8	1	
45	9	12	1	1	
46	5	15	9	0	
47	11	30	9	0	
48	34	16	4	1	
49	26	29	3	1	
50	30	18	4	1	
					;
